,mz
62,478.3286
68,494.3241
71,500.31300000000005
76,506.3599
80,510.3554
90,520.3398
93,522.3554
105,536.371
116,548.2747
129,564.306
134,568.3398
136,570.3554
141,575.5028
143,577.5184
167,597.4872
175,603.5341
192,625.5184
205,649.5184
211,651.5341
214,663.4959
252,703.57
254,704.5248
261,711.4959
267,716.4627
269,718.5381
272,720.4957
273,720.5538
276,722.5541
279,725.5568
283,728.52
284,730.5381
287,732.5538
288,734.5694
289,736.4888
299,744.5538
303,746.5694
307,748.585
309,751.5232
315,758.5694
319,760.585
323,762.6007
325,764.5225
327,766.5381
337,772.5481
338,772.585
339,773.5327
340,774.5638
341,774.6007
344,778.5381
345,780.5168
353,784.585
355,785.4729
358,786.6007
359,787.6687506
362,788.6164
363,790.5357
365,790.5739
369,792.5538
370,792.5749
371,792.5896
375,794.5694
377,796.5099
379,796.5481
385,798.5983
386,799.5459
393,802.4995
395,802.5357
398,803.5334
400,804.5514
401,806.5694
404,808.5481
411,812.52
413,812.6139
414,813.6844
417,814.5739
418,814.632
419,815.7000506
421,816.6476
423,818.4942
424,818.5694
427,820.5481
428,820.585
432,822.6007
433,824.5412
436,826.5357
438,827.7099
441,829.7279
448,833.5803
449,834.6007
454,836.6164
459,842.5308
462,844.5464
463,845.5303
464,845.6995
467,846.5638
472,851.7123
473,852.5514
474,852.5725
475,853.7255
477,855.7436
479,857.7552
482,859.5307
488,871.7151
491,874.5568
495,878.5694
496,879.7412
499,881.7568
500,883.7725
505,901.7255
516,927.7412
